Columnnr	Columnchar	shortname	fullquestion
687.0	"ZK"	"aidreceived"	"Have you received aid from the government  NGOs or other organisations in the last 12 months "
688.0	"ZL"	"giftsreceived"	"Have you received any gifts from family  friends  neighbours in the past year "
689.0	"ZM"	"aidtypes"	"What types of aid have the household received during the last 12 months  from government or organisations "
690.0	"ZN"	"aid_other"	"Specify other type of aid "
691.0	"ZO"	"aid_food_amount"	"About how much of the food eaten by your household was from aid sources "
692.0	"ZP"	"gifttypes"	"What types of gifts have the household received during the last 12 months  from family  friends  neighbours "
693.0	"ZQ"	"gift_other"	"Specify other type of gift "
694.0	"ZR"	"gift_food_amount"	"About how much of the food eaten by your household was from gifts  from family  friends  neighbours "
695.0	"ZS"	"debts_have"	"Does your household have any credit  debts or loans  or did you have any in the last 12 months "
696.0	"ZT"	"debts_worry"	"Did you ever find it difficult to pay the debts in the last 12 months "
697.0	"ZU"	"offfarm_incomes_any"	"Does your household have any sources of income apart from selling what you produce on the farm "
698.0	"ZV"	"offfarm_incomes"	"What are those sources of off farm income "
699.0	"ZW"	"offfarm_incomes_count"	"offfarm_incomes_count"
700.0	"ZX"	"offfarm_income_name_1"	"I m going to ask you about each of your off farm income sources in turn  Define off farm income number   offfarm_rep_number  "
701.0	"ZY"	"offfarm_label_1"	"Name of off farm income in local language"
702.0	"ZZ"	"offfarm_year_round_1"	"Does your household earn money from   offfarm_label  ALL YEAR LONG "
703.0	"AAA"	"offfarm_month_1"	"Which months does your household earn money from   offfarm_label  "
704.0	"AAB"	"offfarm_who_control_revenue_1"	"Who decides how to spend the money from   offfarm_label  "
705.0	"AAC"	"offfarm_income_name_2"	"I m going to ask you about each of your off farm income sources in turn  Define off farm income number   offfarm_rep_number  "
706.0	"AAD"	"offfarm_label_2"	"Name of off farm income in local language"
707.0	"AAE"	"offfarm_year_round_2"	"Does your household earn money from   offfarm_label  ALL YEAR LONG"
708.0	"AAF"	"offfarm_month_2"	"Which months does your household earn money from   offfarm_label"
709.0	"AAG"	"offfarm_who_control_revenue_2"	"Who decides how to spend the money from   offfarm_label"
710.0	"AAH"	"offfarm_income_name_3"	"I m going to ask you about each of your off farm income sources in turn  Define off farm income number   offfarm_rep_number"
711.0	"AAI"	"offfarm_label_3"	"Name of off farm income in local language"
712.0	"AAJ"	"offfarm_year_round_3"	"Does your household earn money from   offfarm_label  ALL YEAR LONG"
713.0	"AAK"	"offfarm_month_3"	"Which months does your household earn money from   offfarm_label"
714.0	"AAL"	"offfarm_who_control_revenue_3"	"Who decides how to spend the money from   offfarm_label"
715.0	"AAM"	"offfarm_income_name_4"	"I m going to ask you about each of your off farm income sources in turn  Define off farm income number   offfarm_rep_number"
716.0	"AAN"	"offfarm_label_4"	"Name of off farm income in local language"
717.0	"AAO"	"offfarm_year_round_4"	"Does your household earn money from   offfarm_label  ALL YEAR LONG"
718.0	"AAP"	"offfarm_month_4"	"Which months does your household earn money from   offfarm_label"
719.0	"AAQ"	"offfarm_who_control_revenue_4"	"Who decides how to spend the money from   offfarm_label"
720.0	"AAR"	"offfarm_income_name_5"	"I m going to ask you about each of your off farm income sources in turn  Define off farm income number   offfarm_rep_number"
721.0	"AAS"	"offfarm_label_5"	"Name of off farm income in local language"
722.0	"AAT"	"offfarm_year_round_5"	"Does your household earn money from   offfarm_label  ALL YEAR LONG"
723.0	"AAU"	"offfarm_month_5"	"Which months does your household earn money from   offfarm_label"
724.0	"AAV"	"offfarm_who_control_revenue_5"	"Who decides how to spend the money from   offfarm_label"
725.0	"AAW"	"offfarm_income_name_6"	"I m going to ask you about each of your off farm income sources in turn  Define off farm income number   offfarm_rep_number"
726.0	"AAX"	"offfarm_label_6"	"Name of off farm income in local language"
727.0	"AAY"	"offfarm_year_round_6"	"Does your household earn money from   offfarm_label  ALL YEAR LONG"
728.0	"AAZ"	"offfarm_month_6"	"Which months does your household earn money from   offfarm_label"
729.0	"ABA"	"offfarm_who_control_revenue_6"	"Who decides how to spend the money from   offfarm_label"
730.0	"ABB"	"offfarm_incomes_other"	"Specify other off farm income "
731.0	"ABC"	"offfarm_income_proportion"	"Consider all the money earned in the last 12 months from selling farm produce  and from the cash activities we just discussed  Did more money come sales of farm produce  or more from the off farm cash activities "
732.0	"ABD"	"spending_Off_farm_income"	"When spending the money on that is earned FROM OFF FARM sources  what sorts of things does your household spend it on "
733.0	"ABE"	"spending_On_farm_income"	"When spending the money on that is earned FROM SALES OF FARM PRODUCE  what sorts of things does your household spend it on "
734.0	"ABF"	"PPI_1"	"How many members does the household have "
735.0	"ABG"	"PPI_2"	"Are all household members aged 7 to 16 currently in school "
736.0	"ABH"	"PPI_3"	"What is the highest school grade that the female head or spouse has completed "
737.0	"ABI"	"PPI_4"	"What material is the floor of the house made of "
738.0	"ABJ"	"PPI_5"	"What kind of building material is the roof of the house made of "
739.0	"ABK"	"PPI_6"	"What is the main fuel used for cooking "
740.0	"ABL"	"PPI_7"	"Does your household own any televisions  DVDs VCRs  or satellite dish or other pay TV arrangements "
741.0	"ABM"	"PPI_8"	"Does your household own an iron   electric or non electric "
742.0	"ABN"	"PPI_9"	"Does your household own any cellular phones "
743.0	"ABO"	"PPI_10"	"Do you own beds or mattresses in your household "
744.0	"ABP"	"permission_callback"	"Would you allow us to telephone you for a short conversation  5 or 10 minutes only   to follow up on this survey "
745.0	"ABQ"	"X_GPS_latitude"	"GPS information, latitude"
746.0	"ABR"	"X_GPS_longitude"	"GPS information, longitude"
747.0	"ABS"	"X_GPS_altitude"	"GPS information, altitude"
748.0	"ABT"	"X_GPS_precision"	"GPS information, precision"
749.0	"ABU"	"Additional_respondents"	"ENUMERATOR  How many people contributed to answering the survey "
750.0	"ABV"	"quality_rapport"	"ENUMERATOR  In your opinion  how easily did you establish rapport with the respondent "
751.0	"ABW"	"quality_reliability"	"ENUMERATOR  How reliable do you think these answers are  Consider the accuracy and willingness to answer "
752.0	"ABX"	"end_time_user"	"What time did you finish the survey "
753.0	"ABY"	"endtime_auto"	"What time did you finish the survey "
754.0	"ABZ"	"endtime_calculated"	"What time did you finish the survey "
755.0	"ACA"	"X_submission_time"	"ODK settings"
756.0	"ACB"	"X_tags"	"ODK settings"
757.0	"ACC"	"X_version"	"ODK settings"
758.0	"ACD"	"X_duration"	"ODK settings"
